Date,Open,High,Low,close,Adj close*,Volume
22-Mar-17,267.88,268.57,264.41,267.5,265.1,"98,87,203"
23-Mar-17,266.59,266.99,264.31,268.5,266.09,"79,98,170"
24-Mar-17,267.08,276.45,266.24,276.5,274.02,"2,01,33,467"
27-Mar-17,273.53,278.28,272.73,279.45,276.95,"1,59,66,114"
28-Mar-17,278.13,280.36,276,282.1,279.57,"1,86,73,371"
29-Mar-17,280.61,287.3,280.61,288.45,285.86,"3,10,08,407"
30-Mar-17,286.41,291.12,286.26,291.05,288.44,"1,96,83,170"
31-Mar-17,289.38,292.36,285.91,293.4,290.77,"2,01,85,269"
03-Apr-17,292.16,293.05,289.58,293.15,290.52,"1,05,09,610"
05-Apr-17,290.52,296.07,287.05,297.35,294.69,"2,19,36,647"
06-Apr-17,292.8,294.88,288.84,292.85,290.23,"1,84,13,111"
07-Apr-17,289.09,292.16,285.07,289.45,286.86,"1,07,65,502"
10-Apr-17,287.2,287.75,283.98,289.35,286.76,"1,03,07,875"
11-Apr-17,286.71,292.5,286.21,294.5,291.86,"1,16,82,024"
12-Apr-17,291.37,292.8,286.51,290.15,287.55,"1,32,51,421"
13-Apr-17,287.65,290.47,287.4,291.55,288.94,"99,44,020"
17-Apr-17,288.94,290.13,285.91,289.9,287.3,"81,46,800"
18-Apr-17,288.44,294.24,285.82,290.3,287.7,"1,34,57,050"
19-Apr-17,288.94,289.14,280.36,284.05,281.5,"1,81,49,995"
20-Apr-17,281.36,284.33,279.67,284.8,282.25,"1,45,14,929"
21-Apr-17,284.43,284.43,276.75,282.2,279.67,"1,20,42,308"
24-Apr-17,280.71,285.27,278.38,286.05,283.49,"1,00,77,853"
25-Apr-17,284.92,286.21,282.45,286.05,283.49,"1,15,31,902"
26-Apr-17,284.53,286.91,280.81,286.45,283.88,"1,38,36,891"
27-Apr-17,283.88,285.37,278.53,282.05,279.52,"2,26,22,372"
28-Apr-17,280.46,288.14,279.97,289.75,287.15,"1,41,52,004"
02-May-17,287.15,289.88,284.53,288.3,285.72,"97,54,789"
03-May-17,286.81,290.57,283.24,289.8,287.2,"1,39,50,914"
04-May-17,291.37,297.31,290.47,299.05,296.37,"2,45,34,923"
05-May-17,298.3,302.17,289.53,296,293.35,"3,47,56,331"
08-May-17,293.45,298.05,291.27,299.4,296.72,"1,15,60,550"
09-May-17,298.2,298.2,292.6,296.5,293.84,"78,43,574"
10-May-17,294.34,295.48,290.37,294.45,291.81,"86,99,405"
11-May-17,293.25,296.72,291.81,298.1,295.43,"1,19,34,889"
12-May-17,297.31,299.89,293.35,297.9,295.23,"1,33,76,269"
15-May-17,295.73,299.29,294.83,301.4,298.7,"1,03,83,539"
16-May-17,299.29,305.64,296.67,307.5,304.74,"1,75,33,439"
17-May-17,305.24,306.03,302.76,307.65,304.89,"1,41,20,513"
18-May-17,302.12,305.14,299.29,302.95,300.23,"1,54,71,393"
19-May-17,301.72,312.47,299.29,308,305.24,"5,52,50,969"
22-May-17,306.18,306.63,290.57,294.3,291.66,"3,57,71,221"
23-May-17,292.36,293.25,284.68,288.85,286.26,"1,98,46,852"
24-May-17,287.45,287.85,279.13,283.15,280.61,"1,64,35,958"
25-May-17,281.6,288.74,281.01,290.1,287.5,"1,50,18,467"
26-May-17,290.5,291,285.3,288.45,288.45,"1,23,04,394"
29-May-17,288.9,290.85,283.3,284,284,"1,06,19,968"
30-May-17,283.4,289.75,281.05,288.85,288.85,"96,43,418"
31-May-17,289,291.5,287.2,288.3,288.3,"1,06,97,171"
