Date,Open,High,Low,Close,Adj close*,Volume
15-Jan-16,193.49,193.49,177.05,184.3,180.28,"2,90,90,426"
18-Jan-16,180.87,184.05,175.24,181,177.05,"3,56,53,244"
19-Jan-16,178.18,183.7,177.54,182.95,178.96,"2,45,01,774"
20-Jan-16,176.71,176.71,167.76,173.65,169.86,"2,86,55,794"
21-Jan-16,173.14,174.75,168.3,175.6,171.77,"2,86,97,205"
22-Jan-16,175.98,181.36,174.41,184.6,180.57,"2,14,32,409"
25-Jan-16,183.8,184.68,178.52,182.95,178.96,"1,75,34,650"
27-Jan-16,178.96,178.96,178.96,182.95,178.96,-
28-Jan-16,180.18,181.85,178.52,185.25,181.21,"2,02,41,030"
29-Jan-16,180.18,181.7,174.22,179.9,175.98,"2,42,59,147"
01-Feb-16,177.98,177.98,168.35,172.75,168.98,"2,29,15,269"
02-Feb-16,169.32,173.53,164.92,169.4,165.71,"3,59,57,332"
03-Feb-16,164.14,164.14,159.69,166.05,162.43,"2,41,32,003"
04-Feb-16,165.61,166.1,156.71,162.85,159.3,"2,38,11,109"
05-Feb-16,160.13,165.61,158.66,168.2,164.53,"2,27,32,245"
08-Feb-16,165.75,173.04,164.87,172.15,168.4,"2,22,89,005"
09-Feb-16,164.34,168.64,162.48,167.05,163.41,"1,90,08,384"
10-Feb-16,161.4,162.58,154.55,159,155.53,"3,22,94,785"
11-Feb-16,156.02,163.85,148.88,154.25,150.89,"7,27,49,830"
12-Feb-16,152.74,154.21,145.02,154.8,151.42,"4,11,87,889"
15-Feb-16,155.53,166.29,154.55,167.85,164.19,"3,59,56,266"
16-Feb-16,167.03,167.03,152.26,156.4,152.99,"3,38,16,243"
17-Feb-16,151.62,156.36,147.95,158.95,155.48,"3,24,47,698"
18-Feb-16,158.42,160.13,152.99,159.8,156.31,"2,10,24,178"
19-Feb-16,154.46,161.69,153.67,164.7,161.11,"2,45,92,575"
22-Feb-16,162.33,163.16,160.13,164.95,161.35,"1,58,15,058"
23-Feb-16,161.4,161.4,154.55,158.5,155.04,"2,02,00,068"
24-Feb-16,152.6,157.2,151.91,156.3,152.89,"1,94,40,950"
25-Feb-16,154.16,154.65,147.71,151.8,148.49,"2,27,13,124"
26-Feb-16,152.11,155.24,149.22,155.9,152.5,"3,00,51,402"
29-Feb-16,154.75,160.33,149.66,158.75,155.29,"6,69,81,910"
01-Mar-16,157,159.35,155.09,162.05,158.52,"2,35,88,231"
02-Mar-16,168.74,179.2,168.74,181.15,177.2,"5,33,33,757"
03-Mar-16,179.99,180.57,174.61,182.75,178.76,"3,35,07,048"
04-Mar-16,179.4,185.71,174.61,188.4,184.29,"3,88,60,711"
08-Mar-16,184.29,184.29,177.44,183.35,179.35,"2,79,28,279"
09-Mar-16,176.07,179.99,174.8,183.4,179.4,"2,94,53,018"
10-Mar-16,180.72,180.72,175.49,180.5,176.56,"2,04,72,928"
11-Mar-16,176.07,178.67,173.68,180.1,176.17,"2,18,69,157"
14-Mar-16,178.47,179.4,176.76,181.75,177.79,"1,43,69,755"
15-Mar-16,177.69,182.14,177.69,185.3,181.26,"2,23,69,600"
16-Mar-16,180.97,181.85,177.64,185.2,181.16,"1,92,37,834"
17-Mar-16,183.9,185.17,180.97,186.35,182.29,"2,15,60,986"
